0,50.755
0.5,50.788
1,50.815
1.5,50.865
2,50.869
2.5,50.877
3,50.888
3.5,50.91
4,50.876
4.5,50.851
5,50.759
5.5,50.709
6,50.771
7.5,50.844
8,50.857
8.5,50.882
9,50.906
9.5,50.829
10,50.846
10.5,50.803
11,50.81
11.5,50.773
12,50.808
12.5,50.806
13,50.932
13.5,50.964
14,51.028
14.5,51.094
15,51.113
15.5,51.116
16,51.139
16.5,51.175
17,51.056
17.5,51.06
18,51.07
18.5,51.131
19,51.122
19.5,51.113
20,51.182
20.5,51.222
21,51.252
21.5,51.1775
22,51.3375
22.5,51.5755
23,51.4535
23.5,51.368
24,51.353
24.5,51.353
25.5,51.388
26.5,51.393
27.5,51.457
28.5,51.624
29.5,51.681
30.5,51.84
31.5,52.039
32.5,52.172
33.5,52.397
34.5,52.413
35.5,52.603
36.5,52.579
37.5,52.617
38.5,52.736
39.5,52.921
40.5,52.902
41.5,53.003
42.5,53.083
43.5,53.293
44.5,53.503
45.5,53.641
46.5,54.02
47.5,54.286
48.5,54.458
49.5,54.527
50.5,54.558
51.5,54.591
52.5,54.802
53.5,54.976
54.5,55.042
55.5,55.194
56.5,55.45
57.5,55.625
58.5,55.811
59.5,55.997
60.5,56.152
61.5,56.281
62.5,56.379
63.5,56.58
64.5,56.718
65.5,57.018
66.5,57.249
67.5,57.25
68.5,57.311
69.5,57.351
70.5,57.486
71.5,57.621
72.5,57.771
